Date	time	ms	output	display	units	precision
7/3/2014	9:05:28 AM	1357	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:28 AM	1444	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:28 AM	1529	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:28 AM	1618	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:28 AM	1706	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:28 AM	1790	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:28 AM	1877	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:28 AM	1965	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:28 AM	2049	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2124	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2208	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2286	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2374	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2459	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2545	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2633	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2719	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2805	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:29 AM	2893	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:29 AM	2979	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	3065	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:30 AM	3153	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	3238	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	3327	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	3415	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	3503	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	3587	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:30 AM	3675	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	3764	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	3849	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:30 AM	3935	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:30 AM	4007	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:31 AM	4087	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:31 AM	4175	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:31 AM	4263	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:31 AM	4348	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:31 AM	4435	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:31 AM	4523	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:31 AM	4608	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:31 AM	4694	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:31 AM	4783	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:31 AM	4868	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:31 AM	4954	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:31 AM	5041	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5127	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5215	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:32 AM	5303	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5392	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5476	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5564	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5653	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5742	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5826	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:32 AM	5902	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:32 AM	5986	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	6064	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	6153	-0.020000	-0.020000	%	3.000000
7/3/2014	9:05:33 AM	6237	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:33 AM	6323	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	6412	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	6497	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	6584	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	6672	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	6761	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:33 AM	6846	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	6934	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:33 AM	7023	-0.050000	-0.050000	%	3.000000
